phrase,news_count,research_count,speech_count,news_percentage,research_percentage,speech_percentage,average_percentage,source,agriculture_and_food_production,healthcare_and_wellbeing,general,none_of_the_above
people,109037.0,50895.0,145181.0,0.9375,0.4683,2.3585,1.2548,news_research_speech,False,False,True,False
government,110414.0,13981.0,66410.0,0.9493,0.1286,1.0788,0.7189,news_research_speech,False,False,True,False
study,4175.0,227243.0,559.0,0.0359,2.091,0.0091,0.712,news_research_speech,False,False,True,False
things,22866.0,6708.0,61456.0,0.1966,0.0617,0.9984,0.4189,news_research_speech,False,False,True,False
lot,19615.0,8939.0,45384.0,0.1686,0.0823,0.7373,0.3294,news_research_speech,False,False,True,False
money,29007.0,13381.0,34107.0,0.2494,0.1231,0.5541,0.3089,news_research_speech,False,False,True,False
president,19220.0,370.0,46600.0,0.1652,0.0034,0.757,0.3085,news_research_speech,False,False,True,False
place,32504.0,17320.0,25863.0,0.2795,0.1594,0.4201,0.2863,news_research_speech,False,False,True,False
work,25582.0,34592.0,17722.0,0.2199,0.3183,0.2879,0.2754,news_research_speech,False,False,True,False
terms,10825.0,21156.0,26812.0,0.0931,0.1947,0.4356,0.2411,news_research_speech,False,False,True,False
person,17642.0,9679.0,28029.0,0.1517,0.0891,0.4553,0.232,news_research_speech,False,False,True,False
law,25990.0,3630.0,25627.0,0.2235,0.0334,0.4163,0.2244,news_research_speech,False,False,True,False
party,30833.0,1762.0,22335.0,0.2651,0.0162,0.3628,0.2147,news_research_speech,False,False,True,False
students,34581.0,21371.0,9249.0,0.2973,0.1966,0.1503,0.2147,news_research_speech,False,False,True,False
children,30153.0,21833.0,10720.0,0.2592,0.2009,0.1741,0.2114,news_research_speech,False,False,True,False
court,29923.0,858.0,21764.0,0.2573,0.0079,0.3536,0.2063,news_research_speech,False,False,True,False
women,32222.0,20554.0,9394.0,0.277,0.1891,0.1526,0.2062,news_research_speech,False,False,True,False
research,7186.0,52838.0,3103.0,0.0618,0.4862,0.0504,0.1995,news_research_speech,False,True,True,False
order,15813.0,34724.0,8096.0,0.136,0.3195,0.1315,0.1957,news_research_speech,False,False,True,False
issues,16129.0,10820.0,21394.0,0.1387,0.0996,0.3475,0.1953,news_research_speech,False,False,True,False
development,26615.0,25988.0,7180.0,0.2288,0.2391,0.1166,0.1948,news_research_speech,False,False,True,False
process,16624.0,17134.0,17116.0,0.1429,0.1577,0.2781,0.1929,news_research_speech,False,False,True,False
results,9225.0,42060.0,6892.0,0.0793,0.387,0.112,0.1928,news_research_speech,False,False,True,False
issue,16271.0,7308.0,21631.0,0.1399,0.0672,0.3514,0.1862,news_research_speech,False,False,True,False
problem,10042.0,15803.0,20077.0,0.0863,0.1454,0.3262,0.186,news_research_speech,False,False,True,False
need,26578.0,21143.0,8265.0,0.2285,0.1945,0.1343,0.1858,news_research_speech,False,False,True,False
matter,20393.0,3642.0,21349.0,0.1753,0.0335,0.3468,0.1852,news_research_speech,False,False,True,False
water,10724.0,26380.0,12444.0,0.0922,0.2427,0.2022,0.179,news_research_speech,True,False,True,False
