text,language,priority,option1,option2,option3,model1,model2,model3
Kɛ Ha Siniɔ Hai Sukuuhi,ada,1,For Senior High Schools,,,gemini-3.6-flash,,
Pɛmingu Blɔ nɔ Tomi kɛ Gbimikɔmi 2,ada,1,Syllable Structure and Phonology 2,,,gemini-3.6-flash,,
Ni sɛɛmi ngɛ nɔ pɔtɛɛ ko he kɛ ni kanemi 10,ada,1,Answering questions on a specific topic and Reading 10,,,gemini-3.6-flash,,
Animosa blɔ nɔ tomi kɛ mlaahi nɛ kudɔɔ Dangme ngmami18,ada,1,Introduction to the guide and rules governing Dangme orthography 18,,,gemini-3.6-flash,,
Mlaahi nɛ kudɔɔ gbi ɔ ngmami29,ada,1,Rules governing the writing of the language 29,,,gemini-3.6-flash,,
"Saneyo, Sisi tsɔɔmi kɛ Sisi jemi 49",ada,1,"Vocabulary, Meaning and Context 49",,,gemini-3.6-flash,,
Kusumi ma nɔ yemi87,ada,1,Traditional Governance 87,,,gemini-3.6-flash,,
Sɛ Enyɔ MI GBAMI 1,ada,1,PART TWO 1,,,gemini-3.6-flash,,
Pɛlɔku pɛmingu ji pɛlɔku nɛ tsuɔ ni kaa pɛmingu (Enɛ ɔ eko be Dangme mi).,ada,1,A consonant syllable is a consonant that acts as a syllable (This does not exist in Dangme).,,,gemini-3.6-flash,,
Pɛlɔ pɛ hu ma nyɛ da si kaa pɛmingu.,ada,1,A single vowel can also stand as a syllable.,,,gemini-3.6-flash,,
"Ke o ke Kofi ɔ, o deɔ Ko nɛ o deɔ fi.",ada,1,"When you say Kofi, you say Ko and you say fi.",,,gemini-3.6-flash,,
Enɛ ɔ tsɔɔ kaa munyungu Kofi hɛɛ pɛminguhi,ada,1,This shows that the word Kofi contains syllables,,,gemini-3.6-flash,,
Munyungu adidikɔngme hɛɛ pɛmingu enyɛmɛ nɛ,ada,1,"How many syllables does the word adidikɔngme have, and",,,gemini-3.6-flash,,
Bɔligatanga hu hɛɛ enyɛmɛ?,ada,1,how many does Bɔligatanga also have?,,,gemini-3.6-flash,,
Pɛlɔ pɛ ma nyɛ da si kaa pɛmingu nɛ pɛlɔku kɛ pɛlɔ ma nyɛ da si kaa pɛmingu.,ada,1,"A vowel alone can stand as a syllable, and a consonant and a vowel can stand as a syllable.",,,gemini-3.6-flash,,
"Pɛmingu enyɔ munyungu nɔhyɛ ni: tade, gɔji, ati, madaa, godo, tsɛtsɛ, sika, bɔfo",ada,1,"Examples of two-syllable words: dress, mountains, tree, plantain, loincloth, paternal uncle, money, messenger",,,gemini-3.6-flash,,
"Pɛmingu pe enyɔ munyungu nɔhyɛ ni: tokota, adidikɔngme, sakisi, sikatsɛmɛ, kɛ",ada,1,"Examples of words with more than two syllables: sandals, praying mantis, scissors, rich people, and",,,gemini-3.6-flash,,
Pɛmingu lemi ngɛ gbi ko mi ɔ he hia wawɛɛ ejakaa:,ada,1,Knowing syllables in a language is very important because:,,,gemini-3.6-flash,,
E yeɔ buaa ni kaseli nɛ a nyɛɔ peeɔ munyunguhi nɛ da ngɛ a dɛhe.,ada,1,It helps learners to be able to form correct words on their own.,,,gemini-3.6-flash,,
E yeɔ buaa ni kaseli nɛ a leɔ gbi ɔ si fɔfɔɛ kɛ e lomi bɔ.,ada,1,It helps learners to know the nature and formation of the language.,,,gemini-3.6-flash,,
E yeɔ buaa ni kaseli nɛ a nuɔ munyunguhi a sisi.,ada,1,It helps learners to understand the meaning of words.,,,gemini-3.6-flash,,
Munyungu komɛ a mi gbami kɛ wo pɛminguhi a mi ji nɛ ɔ nɛ:,ada,1,The following is the division of some words into syllables:,,,gemini-3.6-flash,,
"Ngɛ nɔhyɛ munyungu nɛ ɔmɛ a tsɛmi mi ɔ, pɛminguhi jeɔ a he kpo.",ada,1,"In these example words, nasal vowels appear.",,,gemini-3.6-flash,,
Pɛminguhi nɛ gbeɔ a nya kɛ pɛli: A ji pɛminguhi nɛ a gbeɔ a nya kɛ pɛli.,ada,1,Nasal vowels that end with 'm': These are nasal vowels that end with 'm'.,,,gemini-3.6-flash,,
"(o lo lo ngmo, kɛ ekpa komɛ).",ada,1,"(o lo lo ngmo, and others).",,,gemini-3.6-flash,,
