language,sentence,english_answer,chose,share,from,answers_on_item
ga,Moses Jeshie Appleh (Rtd.),Moses Jechy Appleh (Lt.),1,1.0,option,1
twi,Asɛnsini Nhyehyɛeɛ ne Toonu,Phrase Structure and Tone Marking,1,1.0,option,1
twi,Asɛnsini a emu abue,Open syllable,1,1.0,option,1
twi,Asɛnsini a emu abue yɛ asɛnsini a ɛnne nnyegyeeɛ twa toɔ.,An open syllable is a syllable that ends with a vowel sound.,1,1.0,option,1
twi,Asɛnsini a emu to yɛ asɛnsini a anom nnyegyeeɛ twa toɔ.,A closed syllable is a syllable that ends with a consonant sound.,1,1.0,option,1
twi,Asɛnsini fa a ɛho hia pa ara,Very important part of a sentence,1,1.0,option,1
twi,Asɛnsini yɛ asɛmfua fa bi a yɛte wɔ ɔkasa mu.,A syllable is a part of a word that we hear in speech.,1,1.0,option,1
twi,Dwumadie 1.2 Asante Twi asɛnsini nhyehyɛeɛ,Exercise 1.2 English sentence structure,1,1.0,option,1
twi,Fa w’ankasa nsɛmfua kyerɛkyerɛ asɛnsini ase.,Explain the sentence in your own words.,1,1.0,option,1
twi,Ghana ha kasa ahodoɔ no mu bebree na ɛnni saa asɛnsini a anom nnyegyeeɛ na ɛtwa,many of the languages here in Ghana do not have this syllable that ends with a consonant sound.,1,1.0,option,1
twi,Ghana ha kasa ahodoɔ no mu kakra bi a wɔwɔ saa asɛnsini yi bi nonom ne,A few of the languages ​​here in Ghana that have some of these syllables are,1,1.0,option,1
twi,Kyerɛkyerɛ mfasoɔ a ɛwɔ asɛnsini nhyehyɛeɛ so wɔ nsɛmfuayɛ mu no.,Explain the usefulness of sentence structure in word formation.,1,1.0,option,1
twi,Kyerɛkyerɛ nsɛnsini ahodoɔ a ɛwɔ Asante Twi kasa mu no mu.,Explain the various types of morphemes in the Asante Twi language.,1,1.0,option,1
twi,"Saa ɔfa yi kasa fa asɛnsini, asɛnsini nhyehyɛeɛ ne toonu ho.","This section deals with phrases, phrase structure, and tone marking.",1,1.0,option,1
twi,Wɔakyekyɛ asɛmfua biara mu kɔ nsɛnsini ahodoɔ a ɛwɔ mu mu.,Each word has been broken down into its various syllables.,1,1.0,option,1
twi,Ɔfa 4 KASASIN/ƆKASAMUFA NHYEHYƐEƐ NE ATWERƐ MU,Section 4 PHRASE/CLAUSE STRUCTURE AND WRITING,1,1.0,option,1
twi,Ɔkasa biara wɔ ne nsɛnsini nhyehyɛeɛ.,Each speech has its own structure.,1,1.0,option,1
twi,Ɛho nhwɛsoɔ no bi na ɛdidi soɔ yi:,Here are some examples:,1,0.5,option,2
twi,Ɛho nhwɛsoɔ no bi na ɛdidi soɔ yi:,Some examples of this are listed below:,1,0.5,option,2
twi,"Ɛsɛ sɛ yɛhyɛ no nso sɛ,","It should also be noted that,",1,1.0,option,1
